Professor,University,Conference,Homepage,Resolved Homepage,Selected Pages,Pages Parsed,Members Discovered,Current Members,Former Members,Failure Category,Navigation Confidence,Pipeline Status
Ravi Netravali,Princeton University,NSDI; SOSP; OSDI,https://www.cs.princeton.edu/people/profile/ravian,https://www.cs.princeton.edu/~ravian,https://sysml.cs.princeton.edu/,1,0,0,0,page_classifier_rejection,0.805,page_rejected
Feng Qian 0001,University of Southern California,SIGCOMM; NSDI; SOSP,https://feng-qian.github.io/,https://feng-qian.github.io/,https://feng-qian.github.io/students.html,1,19,19,0,,1.0,success
Arvind Krishnamurthy,University of Washington,SIGCOMM; NSDI; SOSP,http://www.cs.washington.edu/homes/arvind/,http://www.cs.washington.edu/homes/arvind/,,0,0,0,0,navigation_failure,,skipped
Vincent Liu 0001,University of Pennsylvania,SIGCOMM; NSDI; OSDI,https://vincen.tl/,https://vincen.tl/,https://dsl.cis.upenn.edu/,1,0,0,0,page_classifier_rejection,0.805,page_rejected
Rachit Agarwal 0001,Cornell University,SIGCOMM; OSDI; NSDI,http://www.cs.cornell.edu/~ragarwal/index.html,http://www.cs.cornell.edu/~ragarwal/index.html,https://www.cs.cornell.edu/~ragarwal/collaborators.html,1,0,0,0,page_classifier_rejection,1.0,page_rejected
Tianyin Xu,University of Illinois Urbana-Champaign,OSDI; NSDI; EuroSys,https://tianyin.github.io/,https://tianyin.github.io/,https://www.cs.cornell.edu/~legunsen,1,0,0,0,page_classifier_rejection,0.808,page_rejected
Mosharaf Chowdhury,University of Michigan,NSDI; OSDI; SIGCOMM,http://www.mosharaf.com/,http://www.mosharaf.com/,https://symbioticlab.org/people/; https://symbioticlab.org/,2,10,10,68,,1.0,success
Aditya Akella,The University of Texas at Austin,NSDI; SIGCOMM; EuroSys,https://www.cs.utexas.edu/~akella/,https://www.cs.utexas.edu/~akella/,http://utns.cs.utexas.edu/,1,0,0,0,page_classifier_rejection,0.805,page_rejected
Peng Huang 0005,University of Michigan,SOSP; OSDI; NSDI,https://web.eecs.umich.edu/~ryanph/,https://web.eecs.umich.edu/~ryanph/,,0,0,0,0,homepage_resolution_failure,,skipped
Scott Shenker,"University of California, Berkeley",SIGCOMM; NSDI; OSDI,https://www2.eecs.berkeley.edu/Faculty/Homepages/shenker.html,https://www2.eecs.berkeley.edu/Faculty/Homepages/shenker.html,https://eecs.berkeley.edu/people/; https://netsys.cs.berkeley.edu/,2,10,10,2,,0.817,success
Ang Chen 0001,University of Michigan,NSDI; SIGCOMM; SOSP,https://www.cs.rice.edu/~angchen/,https://www.cs.rice.edu/~angchen/,,0,0,0,0,navigation_failure,,skipped
